,open,close,low,high,time,volume
0,1443.0,1443.0,1443.0,1443.0,2024-02-01_09:00:00,4550
1,1443.2,1444.8,1439.0,1447.4,2024-02-01_10:00:00,77083
2,1444.6,1446.8,1442.0,1448.6,2024-02-01_11:00:00,80546
3,1446.8,1453.8,1446.8,1454.0,2024-02-01_12:00:00,117758
4,1453.8,1458.0,1453.0,1458.0,2024-02-01_13:00:00,121448
5,1458.0,1455.8,1453.4,1460.0,2024-02-01_14:00:00,127987
6,1455.8,1458.0,1455.2,1459.8,2024-02-01_15:00:00,48868
7,1458.0,1451.6,1451.6,1458.8,2024-02-01_16:00:00,74349
8,1451.8,1444.8,1444.4,1453.2,2024-02-01_17:00:00,194756
9,1445.2,1442.6,1442.6,1447.8,2024-02-01_18:00:00,66468
10,1444.0,1444.8,1442.4,1445.6,2024-02-01_19:00:00,31353
11,1444.8,1448.0,1443.6,1448.2,2024-02-01_20:00:00,29439
12,1448.0,1446.0,1442.8,1449.0,2024-02-01_21:00:00,15938
13,1446.2,1446.4,1444.2,1446.8,2024-02-01_22:00:00,5724
14,1446.6,1445.6,1444.0,1447.0,2024-02-01_23:00:00,5874
15,1450.0,1450.0,1450.0,1450.0,2024-02-02_09:00:00,1345
16,1450.0,1450.0,1447.0,1454.6,2024-02-02_10:00:00,104553
17,1449.8,1455.2,1443.0,1456.6,2024-02-02_11:00:00,90411
18,1455.2,1453.0,1451.6,1455.4,2024-02-02_12:00:00,33213
19,1453.0,1450.4,1448.2,1453.2,2024-02-02_13:00:00,29912
20,1450.2,1452.0,1450.2,1455.0,2024-02-02_14:00:00,34412
21,1452.0,1446.6,1446.0,1453.0,2024-02-02_15:00:00,76280
22,1446.6,1446.4,1446.2,1451.4,2024-02-02_16:00:00,53317
23,1446.4,1445.2,1444.0,1447.4,2024-02-02_17:00:00,51828
24,1445.4,1447.2,1445.0,1448.4,2024-02-02_18:00:00,26895
25,1448.8,1445.8,1445.0,1448.8,2024-02-02_19:00:00,20407
26,1445.8,1445.0,1444.6,1446.4,2024-02-02_20:00:00,10210
27,1445.2,1445.0,1444.6,1445.8,2024-02-02_21:00:00,9980
28,1445.4,1444.0,1443.6,1446.0,2024-02-02_22:00:00,16082
29,1443.8,1443.4,1442.0,1446.0,2024-02-02_23:00:00,22939
30,1440.0,1448.2,1438.0,1451.4,2024-02-03_10:00:00,2890
31,1443.0,1442.8,1441.0,1448.0,2024-02-03_11:00:00,1722
32,1441.2,1442.6,1441.0,1445.4,2024-02-03_12:00:00,1274
33,1441.2,1445.8,1441.0,1446.0,2024-02-03_13:00:00,714
34,1445.8,1446.8,1441.2,1447.0,2024-02-03_14:00:00,1302
35,1446.8,1445.4,1441.6,1447.4,2024-02-03_15:00:00,750
36,1447.0,1447.6,1443.0,1448.0,2024-02-03_16:00:00,1778
37,1444.6,1447.4,1444.2,1448.0,2024-02-03_17:00:00,438
38,1444.6,1446.2,1444.2,1447.2,2024-02-03_18:00:00,952
39,1449.2,1448.8,1442.0,1449.4,2024-02-04_10:00:00,1270
40,1448.8,1446.2,1443.2,1449.0,2024-02-04_11:00:00,1998
41,1446.2,1446.6,1443.2,1447.0,2024-02-04_12:00:00,1686
42,1446.6,1449.6,1443.0,1449.8,2024-02-04_13:00:00,1397
43,1449.2,1451.8,1443.2,1453.0,2024-02-04_14:00:00,2473
44,1446.6,1452.2,1446.6,1452.6,2024-02-04_15:00:00,1122
45,1452.4,1449.8,1447.0,1452.4,2024-02-04_16:00:00,614
46,1449.8,1451.6,1447.4,1452.2,2024-02-04_17:00:00,1248
47,1451.6,1452.6,1450.2,1453.0,2024-02-04_18:00:00,1174
48,1446.2,1446.2,1446.2,1446.2,2024-02-05_09:00:00,879
49,1446.6,1452.8,1444.4,1455.0,2024-02-05_10:00:00,99065
50,1452.8,1451.4,1448.6,1453.0,2024-02-05_11:00:00,51593
51,1451.4,1455.0,1451.2,1465.4,2024-02-05_12:00:00,258438
52,1455.0,1455.0,1453.0,1455.0,2024-02-05_13:00:00,41234
53,1455.0,1454.6,1454.0,1455.0,2024-02-05_14:00:00,44416
54,1454.8,1455.2,1453.4,1459.0,2024-02-05_15:00:00,43384
55,1455.2,1450.4,1447.8,1455.2,2024-02-05_16:00:00,49535
56,1450.2,1474.6,1443.6,1475.0,2024-02-05_17:00:00,861803
57,1474.8,1464.0,1464.0,1479.6,2024-02-05_18:00:00,499386
58,1467.6,1474.0,1465.0,1474.0,2024-02-05_19:00:00,92517
59,1474.0,1477.8,1473.4,1478.0,2024-02-05_20:00:00,118121
60,1477.8,1489.0,1477.6,1496.0,2024-02-05_21:00:00,317711
61,1490.0,1490.2,1488.4,1495.0,2024-02-05_22:00:00,123826
62,1490.4,1494.0,1490.2,1498.0,2024-02-05_23:00:00,88869
63,1496.6,1496.6,1496.6,1496.6,2024-02-06_09:00:00,7678
64,1496.6,1488.8,1485.6,1499.8,2024-02-06_10:00:00,619329
65,1489.0,1478.6,1473.8,1492.8,2024-02-06_11:00:00,455520
66,1478.8,1475.2,1471.2,1480.4,2024-02-06_12:00:00,264782
67,1475.2,1480.0,1474.4,1481.0,2024-02-06_13:00:00,132089
68,1480.8,1480.4,1479.0,1483.0,2024-02-06_14:00:00,94670
69,1480.2,1475.2,1472.4,1486.4,2024-02-06_15:00:00,133299
70,1475.4,1478.0,1474.0,1479.0,2024-02-06_16:00:00,117828
